,40.0
abhorre,85.5
abhorred,80.0
abhorrence,86.0
abhorrent,113.0
abhorrentem,95.0
abhorrest,109.0
abhorreth,58.0
abhorring,81.0
abhorrst,116.0
abhors,67.0
abhorson,152.0
abi,86.5
abia,68.0
abiah,123.0
abialbon,182.0
abiasaph,69.0
abiathar,106.0
abiathars,93.0
abib,45.0
abida,58.0
abidah,59.0
abidan,159.0
abide,65.0
abided,95.0
abides,83.0
abideth,60.0
abiding,84.5
abidingtemperd,123.0
abiel,38.0
abierta,107.0
abierto,94.0
abiertos,104.0
abiezer,63.0
abiezrite,74.0
abiezrites,67.0
abigail,83.0
abigails,80.0
abihail,66.0
abihu,99.0
abiit,62.0
abijah,152.0
abijam,75.0
abilene,82.0
abilin,54.0
abiling,113.0
abilities,95.0
ability,85.0
abilityes,102.0
abilitys,59.0
abimael,72.0
abimelech,121.0
abinadab,46.0
abindarraez,64.0
abindarrez,92.0
abington,182.0
abinoam,109.0
abion,65.0
abiram,61.5
abirding,51.0
abire,144.0
abirom,104.0
abis,59.5
abishag,86.0
abishai,38.0
abishalom,107.0
abishua,161.0
abishur,76.0
abismo,62.0
abismos,122.0
abit,93.0
abital,68.0
abitub,46.5
abiud,190.0
abject,101.0
abjectam,167.0
abjecti,104.0
abjection,70.0
abjectly,94.0
abjectness,99.0
abjectnesses,120.0
abjects,115.5
abjectus,74.0
abjectwhich,99.0
abjicit,163.0
abjurd,167.0
abjure,87.0
abjured,168.0
abjures,82.0
abladen,83.0
abland,94.0
ablandaba,77.0
ablandaban,96.0
ablandan,83.0
ablandar,74.0
ablandara,58.0
ablandarme,97.0
ablandaron,103.0
ablandarte,96.0
ablande,110.0
ablandis,73.0
ablative,221.0
ablatum,94.0
ablaze,95.5
ablazing,79.0
able,54.0
ableand,118.0
ablebodied,109.0
ablebut,73.0
ablecken,127.0
ableeding,117.0
ablege,127.0
ablegte,127.0
abler,100.5
ablerus,153.0
ableshe,62.0
ablest,113.0
ableto,55.0
ableugnen,92.0
ablevoltaire,31.0
ablitionist,63.0
ablndate,165.0
abloom,81.0
ablossom,76.0
ablowin,99.0
ablowing,136.0
ablsen,119.0
ablubbering,118.0
ablushing,46.0
abluted,173.0
ablution,133.0
ablutions,119.0
ably,99.0
abnahm,101.0
abnegated,113.0
abnegation,62.0
abner,70.0
abnormal,117.5
abnormalities,138.0
abnormality,83.0
abnormally,128.0
aboad,65.0
aboard,98.5
aboardclumb,46.0
abobado,138.0
abode,71.0
abodements,81.0
abodes,99.0
abodesin,106.0
abodest,81.0
abodethe,23.5
abodewhether,116.0
aboding,161.0
abolengo,72.0
abolish,73.0
abolished,109.0
abolishedexpression,81.0
abolishedthere,122.0
abolishes,92.0
abolishing,104.0
abolisht,154.0
abolition,84.0
abolitionism,67.0
abolitionist,115.0
abolitionists,84.5
abolitionistsof,67.0
aboll,108.0
abollada,91.0
abollado,126.0
abominable,91.0
abominably,108.0
abominado,166.0
abominate,109.0
abominated,115.0
abominates,110.0
abomination,76.0
abominations,51.0
abomino,140.0
abonasen,72.0
abono,90.0
abooming,109.0
aboon,92.0
aboord,126.0
aboot,69.0
aborde,150.0
aboriginal,118.0
aboriginally,76.0
aboriginalness,103.0
aborigines,86.0
aborrascadas,85.0
aborrec,153.0
aborreca,137.0
aborrece,102.0
aborrecen,176.0
aborrecible,134.0
aborrecida,140.0
aborrecido,50.0
aborrecidos,114.0
aborrecimiento,67.0
aborrezco,135.0
abort,122.0
abortion,99.0
abortions,142.0
abortive,118.0
abortives,158.0
abothering,85.0
aboukir,70.0
abound,93.0
abounded,104.0
aboundeth,51.0
abounding,97.0
aboundingly,60.0
abounds,116.0
aboundst,85.0
about,38.0
aboutand,121.0
aboutas,121.0
aboutask,147.0
aboutenough,109.0
aboutfor,34.0
abouthow,106.0
abouthowever,102.0
abouti,144.0
aboutif,98.0
aboutis,78.0
aboutits,80.0
aboutnow,75.0
aboutrather,158.0
aboutrumours,136.0
aboutsetting,111.0
aboutso,138.0
aboutthat,129.0
aboutthem,125.0
aboutthick,218.0
aboutwhat,147.0
aboutwhenever,99.0
aboutyou,60.0
above,50.0
aboveboard,133.0
abovedescribed,122.0
abovefor,90.0
aboveground,56.0
abovehe,118.0
abovementioned,120.0
abovenamed,92.0
abovenothing,51.0
abovesaid,127.0
abovethe,133.0
abr,78.0
abra,93.5
abrac,153.0
abraded,108.0
abragging,82.0
abraham,82.5
abrahams,83.5
abram,98.0
abramoff,105.0
abramovitz,162.0
abramovna,90.0
abrams,63.0
abran,112.0
abranching,55.0
abras,108.0
abrasa,70.0
abrasada,54.0
abrasadas,131.0
abrasadores,122.0
abrasados,92.0
abrasan,47.0
abrasar,143.0
abrasarla,116.0
abrasarnos,75.0
abrasasen,100.0
abrasemos,76.0
abrasion,142.0
abraz,98.0
abrazaba,73.0
abrazada,126.0
abrazado,140.0
abrazamiento,92.0
abrazando,57.0
abrazar,85.0
abrazara,69.0
abrazarle,120.0
abrazarme,127.0
abrazaron,109.0
abrazase,139.0
abrazla,149.0
abrazle,84.0
abrazlos,138.0
abrazndole,149.0
abrazndonos,132.0
abrazndose,120.0
abrazo,53.0
abrazos,116.0
abrazronle,103.0
abrazronse,104.0
abrazrselos,105.0
abre,66.0
abreakfasting,95.0
abreakinga,90.0
abreast,91.0
abreeding,38.5
abreiben,130.0
abrenuncio,123.0
abrevi,125.0
abrevian,72.0
abreviar,87.0
abrevies,128.0
abrewing,83.5
abrg,171.0
abri,97.5
abrid,69.0
abridgd,75.0
abridge,101.0
abridged,101.0
abridgement,184.0
abridgementperhaps,76.0
abridgements,161.0
abridges,108.0
abridging,77.0
abridgment,80.0
abridgments,87.0
abriendo,105.0
abriera,65.0
abrieran,139.0
abrieron,116.0
abriese,69.0
abriesen,110.0
abrig,102.0
abrigo,103.0
abril,52.0
abrile,115.0
abrindola,67.0
abrindole,64.0
abrindolos,140.0
abrindose,146.0
abrir,63.0
abriran,148.0
abrirle,96.0
abrirse,81.0
abris,186.0
abrise,78.0
abriste,63.0
abrla,71.0
abro,162.0
abroach,118.5
abroad,73.0
abroada,86.0
abroadaeneid,64.0
abroadanon,87.0
abroadhome,201.0
abroadi,148.0
abroadof,140.0
abroadyes,57.0
abrogate,85.0
abrogated,83.0
abrogating,78.5
abrogation,51.0
abrojos,90.0
abrook,150.0
abrs,115.0
abrupt,98.0
abrupta,236.0
abrupted,70.0
abruption,131.0
abruptly,82.0
abruptlya,137.0
abruptlynelly,168.0
abruptness,100.5
abruptum,161.0
abruzzi,92.0
abruzzo,98.0
abs,135.0
absalom,27.0
absaloms,136.0
absatz,104.0
absauste,99.0
abscess,97.0
abscheulich,79.0
abschied,103.0
abschnellen,97.0
abschnitt,143.0
abschnurren,108.0
abscindere,162.0
abscission,93.0
abscissum,121.0
abscond,96.0
absconded,96.0
absconding,135.0
abscondit,109.0
absence,92.0
absencea,125.0
absencean,81.0
absenceand,114.5
absencearranged,214.0
absencei,23.0
absencelong,171.0
absencenothing,202.0
absenceoh,145.0
absences,117.0
absencesuetonius,58.0
absent,79.0
absented,93.0
absentee,139.0
absentees,114.0
absentem,93.5
absentes,108.0
absenting,131.0
absently,102.0
absentminded,95.0
absentmindedly,120.5
absentmindedness,71.5
absents,72.5
absentshe,58.0
absentthat,62.0
absentthe,81.0
absey,120.0
absicht,95.0
absichten,68.0
absichtlich,74.0
absinthe,76.0
absintheporter,92.0
absinthium,182.0
absit,149.0
absohitur,107.0
absolut,140.0
absolute,79.0
absolutely,76.0
absolution,97.0
absolutism,154.0
absolvd,113.5
absolve,81.0
absolved,105.0
absolvedjuvenal,80.0
absolvent,72.0
absolves,90.0
absolveth,80.0
absolviert,115.0
absolvierten,141.0
absolving,143.0
absona,54.5
absorb,93.0
absorbd,66.0
absorbed,91.0
absorbedthat,97.0
absorbent,153.0
absorbing,100.0
absorbingly,105.0
absorbs,85.0
absorption,117.5
absortar,90.0
absorto,105.0
abstain,103.5
abstaind,111.0
abstaine,89.0
abstained,124.0
abstainer,54.0
abstainersthinblooded,160.0
abstaining,138.0
abstains,126.0
abstanden,74.0
abstemious,102.5
abstemiousness,54.0
abstengas,102.0
abstenindote,109.0
abstention,105.0
abstienstoi,86.0
abstinence,105.0
abstinencebut,151.0
abstinences,109.0
abstinent,61.5
abstinet,127.0
abstract,80.0
abstracted,90.0
abstractedly,130.0
abstracting,86.5
abstraction,96.0
abstractions,97.5
abstractionsof,94.0
abstractionsthe,164.0
abstractlet,65.0
abstractly,94.5
abstracts,104.5
abstreiten,122.0
abstruse,141.0
abstruseness,62.0
abstrusest,129.0
abstrusiosities,117.0
absuelve,83.0
absurd,89.0
absurdas,108.0
absurdbut,106.0
absurde,102.0
absurdest,86.0
absurdissimum,22.5
absurditie,128.0
absurdities,80.0
absurditiesat,97.0
absurdity,88.0
absurdityactually,75.0
absurdityas,61.0
absurdityof,107.0
absurdly,104.0
absurdthe,98.0
absurdum,142.0
absuzeln,109.0
absyrtus,114.0
abtrocknen,91.0
abttscheln,51.0
abu,91.0
abulafia,93.0
abunda,100.0
abundaba,168.0
abundaban,190.0
abundan,87.0
abundance,84.0
abundancia,149.0
abundant,99.5
abundante,148.0
abundantemente,163.0
abundantes,115.0
abundantly,106.0
abundantlybut,77.0
abundantsimo,71.0
abundosa,103.0
abundoso,72.0
aburnin,58.0
abusd,125.0
abuse,81.5
abused,81.5
abuser,84.0
abusers,104.0
abuses,98.0
abusing,98.5
abusive,119.0
abuso,152.0
abusos,166.0
abut,103.0
abutment,83.0
abuts,127.0
abutted,113.0
abutting,126.0
abuyin,76.0
abuzz,102.0
abwaschen,102.0
abwechselnd,227.0
abwehrte,90.0
abwischen,78.0
abwrts,88.0
aby,102.0
abydeans,137.0
abydos,113.5
abysm,82.0
abysmal,95.0
abysms,132.0
abyss,71.0
abyssdown,76.0
abysse,141.0
abysses,77.0
abyssesthe,71.0
abyssinia,104.5
abyssinian,39.0
abyssinians,93.0
abysswe,111.0
abysswho,113.0
abzugeben,133.0
abzustreifen,114.0
abzuttscheln,109.0
abzuwarten,58.0
abzuwichsen,134.0
abzuwischen,90.0
ac,154.0
acab,90.0
acaba,99.0
acababa,102.0
acababan,101.0
acabable,113.0
acabad,71.0
acabada,84.0
acabadas,120.0
acabadme,65.0
acabado,128.0
acabados,108.0
acaballa,143.0
acaballe,70.0
acabamiento,126.0
acabamos,104.0
acaban,106.0
acabando,86.0
acabar,121.0
acabara,105.0
acabare,88.0
acabaremos,78.0
acabarla,108.0
acabarle,116.0
acabaron,192.0
acabars,97.0
acabarse,86.0
acabas,139.0
acabase,93.0
acabasen,35.0
acabaste,114.0
acabbamos,96.0
acabe,97.0
acaben,113.0
acabis,158.0
acabndola,60.0
acabndolos,35.0
acabndonoslas,84.0
acabndose,66.0
acabo,110.0
acabrseme,45.0
acabse,128.0
acacia,125.0
acacias,58.0
acad,153.0
academe,110.0
academes,111.0
academia,212.0
academias,52.0
academic,116.0
academical,175.0
academician,163.0
academicians,111.5
academics,88.0
academie,112.0
academies,182.0
academiques,103.0
academus,96.5
academy,97.0
acadian,123.0
acadmicien,102.0
acadmico,150.0
acadmicos,74.0
acaece,124.0
acaecen,167.0
acaeci,184.0
acaecido,45.5
acaecimientos,171.0
acallin,104.0
acalling,112.0
acamas,129.0
acamuzado,72.0
acanaladas,135.0
acanthus,141.0
acanthusleaves,162.0
acanthuslike,193.0
acantsimply,109.0
acapring,88.0
acardenalado,59.0
acardenalarme,135.0
acardiac,91.0
acariciar,65.0
acariciase,88.0
acarrea,29.0
acarrean,76.0
acarryin,102.0
acaso,123.0
acastus,111.0
acatamiento,123.0
acause,100.0
acbar,99.0
acbese,44.0
accad,42.0
accademia,86.0
accaron,116.0
acccording,106.0
accd,80.0
accedas,223.0
accede,69.0
acceded,81.5
acceding,135.5
accelerate,96.0
accelerated,105.0
accelerating,111.5
acceleration,118.0
accendit,153.0
accent,87.0
accentand,111.0
accented,97.0
accenthaving,150.0
accenting,129.0
accents,100.0
accentsas,45.0
accentstay,67.0
accentuate,90.5
accentuated,119.0
accentuates,129.5
accentuating,91.5
accentuation,103.5
accep,82.0
accepi,131.0
accepit,203.5
accept,61.0
acceptable,85.5
acceptableas,74.0
acceptably,122.0
acceptam,238.0
acceptance,88.5
acceptancethe,98.0
acceptat,86.0
acceptation,109.0
acceptations,69.0
accepted,92.0
acceptedis,133.0
acceptedmy,94.0
acceptest,105.0
accepteth,73.5
accepting,100.0
acception,195.0
acceptions,128.0
acceptons,67.0
accepts,91.0
acceptshe,113.0
acceptum,183.0
accesible,114.0
access,117.0
accessary,49.0
accessed,148.0
accesses,83.5
accessibility,101.0
accessible,119.0
accession,80.0
accessions,163.0
accessories,104.0
accessorily,136.0
accessory,92.0
accheta,61.0
accho,88.0
accidence,126.5
accidens,74.0
accident,84.0
accidenta,84.0
accidental,106.5
accidentall,83.0
accidentally,108.5
accidentarily,91.0
accidentary,105.0
accidente,134.0
accidentes,120.0
accidenti,64.0
accidentin,110.0
accidently,117.0
accidents,92.5
accidentsand,82.0
accidentsay,48.0
accidentth,178.0
accidere,81.0
accidunt,100.0
accin,64.0
acciones,72.0
accipimus,200.0
accite,69.0
accited,68.0
accites,122.0
acclaim,81.0
acclaime,125.0
acclaimed,134.0
acclamation,101.5
acclamations,124.0
acclimatised,79.0
acclivities,137.0
acclivity,127.0
accommodata,145.0
accommodate,91.0
accommodated,94.0
accommodates,99.5
accommodating,120.0
accommodatingly,83.0
accommodation,86.0
accommodations,106.0
accommodationsall,113.0
accommodationsyour,247.0
accommodationwhich,82.0
accommodatum,103.0
accommodo,86.0
accompagner,108.0
accompanable,116.0
accompanid,72.0
accompanied,101.0
accompanies,113.0
accompaniment,79.0
accompaniments,94.5
accompanist,94.0
accompany,83.0
accompanyd,111.0
accompanying,96.0
accompanyingmutiny,198.0
accompanyist,65.0
accompli,22.5
accomplice,82.0
accomplices,85.5
accomplicesone,86.0
accomplish,76.0
accomplishd,98.0
accomplished,86.5
accomplishedbut,158.0
accomplishedor,90.0
accomplishedwere,99.0
accomplishes,125.0
accomplishgayer,103.0
accomplishi,123.0
accomplishing,108.0
accomplishment,92.0
accomplishments,120.0
accomplisht,80.0
accompt,102.0
accomptbooks,200.0
accons,63.0
accord,70.5
accordance,148.0
accordant,108.0
accordas,107.0
accorded,92.0
accordeth,96.0
accordin,92.0
according,65.0
accordingly,78.0
accordinglymy,150.0
accordion,143.0
accords,70.5
accost,90.0
accosted,87.0
accostes,77.0
accosting,88.0
accosts,84.5
accouche,123.0
accouchement,82.0
accouchements,86.0
accoucheur,97.0
accoucheuse,72.0
accouchez,80.0
accoules,144.0
account,54.0
accountability,57.0
accountable,77.0
accountant,114.0
accountants,102.5
accountbook,101.5
accountbooks,84.0
accountbut,81.0
accountconsisted,57.0
accountcurrent,76.0
accounted,85.0
accountfor,13.0
accounti,108.0
accounting,102.0
accountit,45.0
accountnot,51.0
accountof,76.0
accounts,97.0
accountsconcerning,159.0
accountshe,95.0
accountst,70.0
accountsuch,119.0
accountwas,87.0
accountwe,145.0
accountwhich,93.0
accouterments,110.0
accoutre,105.0
accoutred,170.0
accoutrement,100.5
accoutrements,128.0
accredited,95.0
accretion,113.5
accretions,72.0
accrew,118.0
accreweth,64.0
accrue,104.0
accrued,86.0
accrues,104.0
accrueth,52.5
accruing,116.0
accumulate,81.5
accumulated,93.0
accumulatelet,98.0
accumulates,116.0
accumulating,110.0
accumulation,85.5
accumulations,108.0
accumulative,45.0
accuracy,95.0
accurat,224.0
accurate,111.0
accurately,92.0
accuratelyany,84.0
accuratelybut,88.0
accursd,98.0
accursed,76.0
accurst,115.0
accus,133.0
accusation,88.5
accusationinglethorp,105.0
accusations,102.5
accusationthe,122.0
accusative,127.0
accusativo,87.0
accusatory,49.0
accusd,78.5
accuse,83.0
accuseclean,86.0
accused,85.0
accuser,66.0
accusers,132.5
accuses,104.5
accuseth,61.5
accusing,121.0
accustom,83.5
accustomary,93.5
accustomd,66.0
accustomed,78.5
accustoming,81.0
accustoms,149.0
ace,89.0
aceas,141.0
acebo,78.0
aceda,30.0
aceite,93.0
aceitera,112.0
aceitunas,56.0
aceldama,92.0
acelerada,102.0
acelerado,114.0
acelerando,163.0
acendradsimo,176.0
acento,74.0
acentos,114.0
aceptar,116.0
aceptlo,146.0
acepto,125.0
acer,122.0
acerada,123.0
acerado,46.0
acerb,112.0
acerbae,83.0
acerbities,103.0
acerbity,152.0
acerbum,160.0
acerc,50.0
acerca,51.0
acercando,56.0
acercse,82.0
acero,94.0
aceros,70.0
acerrimam,166.0
acerrimus,163.0
acert,64.0
acertaba,49.0
acertaban,58.0
acertada,159.0
acertadas,88.0
acertado,137.0
acertados,158.0
acertadsimo,150.0
acertar,82.0
acertara,105.0
acertare,58.0
acertares,122.0
acertaris,114.0
acertarle,119.0
acertaron,146.0
acertase,115.0
acertasen,77.0
acertastes,80.0
acertis,111.0
acertndole,131.0
acervi,69.0
acervo,106.0
aces,110.0
acescit,198.0
acetaba,69.0
acetaban,133.0
acetacin,139.0
acetar,122.0
acetarlos,98.0
acetaron,127.0
acetaros,92.0
acete,96.0
acetic,59.0
aceto,145.0
acetones,63.0
aceyte,100.0
ach,78.5
achaean,58.0
achaeans,106.0
achaemenes,217.0
achaeus,94.0
achaffin,103.0
achaia,95.5
achaian,70.0
achaians,128.5
achan,77.0
achanging,80.0
achanthis,137.0
achaque,102.0
achar,93.0
acharging,79.0
acharne,143.0
acharyas,105.0
achates,88.5
achawed,63.0
achaz,173.0
achbor,57.0
ache,95.0
ached,77.5
acheit,102.0
achelous,82.0
acheron,120.0
acherontia,113.0
acherontis,261.0
aches,85.0
achievd,142.0
achieve,86.0
achieved,101.0
achievedmadame,79.0
achievement,96.0
achievements,104.5
achiever,110.0
achieves,147.0
achieving,128.0
achilleid,64.0
achilleis,76.0
achilleisgrote,104.0
achilles,47.0
achilleses,67.0
achillesi,132.0
achilless,136.0
achim,111.0
aching,91.0
achingin,68.0
achings,127.0
achish,86.0
achitophel,137.0
achmet,50.0
achmetha,74.0
achor,76.0
achreoin,87.0
achsa,70.0
achsah,109.0
achsel,135.0
achseln,86.0
achselspange,61.0
achshaph,78.0
acht,161.0
achten,85.0
achtete,98.0
achtmal,96.0
achtunddreiig,137.0
achtung,85.0
achtzehn,76.0
achzib,88.0
aciago,129.0
aciagos,107.0
acicalada,107.0
acid,72.0
acidente,152.0
acides,67.0
acidly,132.0
acids,88.0
acidstained,107.0
acidulated,211.0
acidulous,96.0
acidumque,109.0
acie,170.0
acierta,54.0
aciertan,96.0
acierte,102.0
aciertes,114.0
acierto,76.0
acies,110.0
aciones,110.0
acite,112.0
acknowledgd,118.0
acknowledge,77.0
acknowledged,86.5
acknowledgeddid,66.0
acknowledgedthat,89.0
acknowledgedwhat,106.0
acknowledgei,140.0
acknowledgement,103.0
acknowledgements,118.0
acknowledges,84.0
acknowledgeth,65.0
acknowledging,100.0
acknowledgment,96.0
acknowledgmentfor,117.0
acknowledgments,116.0
acksually,93.0
aclamaban,44.5
aclamaron,138.0
aclara,83.0
aclaraba,59.0
aclarase,157.0
aclare,92.0
aclrate,122.0
acluttering,145.0
acme,102.0
acmila,78.0
acobardaban,129.0
acobardado,70.0
acobardan,101.0
acobardse,108.0
acoceado,82.0
acocear,145.0
acockbill,154.0
acoga,158.0
acogen,150.0
acoger,92.0
acogerse,74.0
acogi,70.0
acogida,110.0
acogido,53.0
acogidos,146.0
acogiese,80.0
acogiesen,215.0
acogimiento,101.0
acogimientos,82.0
acogistes,106.0
acoja,50.5
acold,61.5
acolyte,26.0
acolytes,149.0
acomdale,127.0
acomdate,172.0
acomet,127.0
acometa,199.0
acomete,81.0
acometedor,134.0
acometedores,100.0
acometella,94.0
acometellas,81.0
acometemos,60.0
acometen,87.0
acometer,105.0
acometerla,111.0
acometerlas,180.0
acometi,119.0
acometida,132.0
acometido,104.0
acometidos,109.0
acometiendo,57.0
acometiera,175.0
acometieran,86.0
acometieron,101.0
acometimientos,72.0
acometindoos,114.0
acometironnos,144.0
acomin,88.0
acoming,122.0
acomod,102.0
acomodaba,91.0
acomodada,151.0
acomodado,147.0
acomodados,93.0
acomodan,80.0
acomodar,137.0
acomodara,96.0
acomodarme,85.0
acomodarn,99.0
acomodaron,142.0
acomodarse,51.0
acomodase,96.0
acomodasen,93.0
acomoddolas,92.0
acomoddose,77.0
acomode,92.0
acomodndole,109.0
acomodndome,107.0
acomodndoos,96.0
acomodndose,159.0
acomodremos,46.0
acomodronme,116.0
acomodrsele,133.0
acomodse,79.0
acompaa,192.0
acompaaba,111.0
acompaaban,142.0
acompaada,99.0
acompaadas,144.0
acompaado,154.0
acompaador,108.0
acompaados,125.0
acompaamiento,101.0
acompaamos,99.0
acompaan,119.0
acompaando,141.0
acompaar,47.0
acompaaremos,49.0
acompaarla,129.0
acompaarle,124.0
acompaarles,179.0
acompaarme,192.0
acompaaron,101.0
acompaaros,161.0
acompaase,110.0
acompaasen,137.0
acompae,95.0
acompamosla,63.0
acomparamos,70.0
acondicionado,76.0
aconite,189.0
aconitum,108.0
aconsej,166.0
aconseja,116.0
aconsejaba,118.0
aconsejada,132.0
aconsejado,41.0
aconsejando,133.0
aconsejar,69.0
aconsejara,113.0
aconsejarale,97.0
aconsejarla,111.0
aconsejarle,75.0
aconsejarme,133.0
aconsejaron,104.0
aconsejarte,121.0
aconsejas,128.0
aconseje,113.0
aconsejle,169.0
aconsejo,67.0
aconsejrale,141.0
aconsjoos,210.0
aconteca,118.0
acontece,72.0
acontecen,82.0
acontecer,131.0
acontecerle,89.0
acontecerles,101.0
aconteci,78.0
acontecido,119.0
acontecieran,91.0
acontecieron,83.0
acontecimiento,139.0
acontecimientos,116.0
acontencido,79.0
acord,128.0
acordaba,77.0
acordado,167.0
acordamos,79.0
acordar,71.0
acordara,48.0
acordaran,22.5
acordarme,119.0
acordaron,110.0
acordarse,70.0
acordarte,116.0
acordase,96.0
acordis,107.0
acordndose,169.0
acordo,75.0
acorn,60.0
acornfashioned,107.0
acorns,100.5
acorredme,98.0
acorrer,96.0
acorrerme,81.0
acorri,46.0
acorriesen,99.0
acorruc,67.0
acorta,128.0
acortando,121.0
acortar,101.0
acos,67.0
acosa,82.0
acosado,119.0
acosados,55.0
acosis,99.0
acost,134.0
acostado,209.0
acostar,99.0
acostarme,153.0
acostarse,116.0
acostas,132.0
acostse,103.0
acostumbrada,123.0
acostumbradas,134.0
acostumbrado,137.0
acostumbrados,115.0
acostumbrar,46.0
acostumbro,180.0
acotaciones,92.0
acote,102.0
acotn,153.0
acoursing,135.0
acourtin,101.0
acourting,88.0
acoustic,98.0
acoustical,97.0
acoustics,101.0
acquaint,94.5
acquaintance,74.5
acquaintanceand,62.5
acquaintanceblot,59.0
acquaintancehe,116.0
acquaintancehow,76.0
acquaintancepoor,122.0
acquaintances,98.0
acquaintancesand,58.5
acquaintancesas,144.0
acquaintanceship,128.0
acquaintancetwo,117.0
acquainted,71.0
acquaintedafforded,104.0
acquaintedat,94.0
acquaintedthey,86.0
acquainting,81.5
acquaints,63.5
acquaviva,123.0
acqui,88.0
acquiescd,163.0
acquiesce,84.5
acquiesced,93.0
acquiescedfoolishly,148.0
acquiescence,94.5
acquiescent,90.0
acquiesces,84.5
acquiescing,156.0
acquirable,133.0
acquird,78.5
acquire,77.0
acquireafter,64.0
acquired,95.5
acquirement,94.5
acquirements,113.0
acquirementsa,79.0
acquirer,113.0
acquires,106.0
acquireth,71.0
acquiring,87.0
acquiritur,218.0
acquisition,106.0
acquisitiongrote,104.0
acquisitions,119.0
acquisitive,110.0
acquisitiveness,66.0
acquit,88.0
acquitall,130.0
acquittal,98.5
acquittalno,54.5
acquittance,102.0
acquittances,106.0
acquitted,86.0
acquittedmy,58.0
acquitteth,42.0
acquitting,92.5
acracking,153.0
acre,106.0
acrebillado,11.0
