,106.11405
abbana,161.0
abbas,153.33333
abbate,157.0
abbatial,65.0
abbaye,90.75
abbayein,78.0
abbe,96.2507
abbekommen,124.0
abberations,169.0
abberent,83.0
abbes,103.68
abbess,94.76667
abbethe,114.0
abbeville,95.0
abbey,101.28713
abbeyland,61.0
abbeymill,91.42857
abbeyoh,102.0
abbeys,114.333336
abbico,93.0
abbominable,79.0
abbot,103.680855
abbots,108.5
abbotsburys,81.0
abbreviate,55.5
abbreviated,94.333336
abbreviating,106.0
abbreviation,97.818184
abbreviations,105.0
abbs,93.0
abc,88.5
abda,58.0
abdeel,95.0
abdelkader,146.0
abdera,106.0
abdi,75.666664
abdias,263.0
abdicate,100.85714
abdicated,92.75
abdicates,89.75
abdicating,76.0
abdication,91.75
abdiel,99.833336
abdita,119.0
abdol,102.0
abdomen,95.818184
abdomens,110.0
abdominal,104.5
abdon,97.25
abducendus,131.0
abducere,110.0
abducted,73.0
abducting,62.0
abduction,97.583336
abductors,73.0
abducts,103.0
abdys,75.0
abe,111.1
abeakuta,144.5
abeakutic,89.0
abeam,135.0
abeaming,104.0
abear,99.71429
abeat,115.0
abecedarian,90.0
abecedarianseneca,94.0
abecedario,104.0
abed,93.75
abedmy,278.0
abednego,99.75
abeggin,96.0
abegging,92.71429
abeilard,102.0
abejas,165.0
abel,99.344826
abela,196.0
abelard,74.0
abelbethmaachah,98.0
abelderin,141.0
abelmaim,40.0
abelmeholah,88.0
abelmizraim,93.0
abels,137.33333
abelshittim,133.0
abencerraje,148.0
abend,105.666664
abends,103.5
abenteuer,111.5
aber,121.162346
abercrombie,192.0
aberdeen,132.0
aberenjenado,86.0
abergany,84.5
abergavenny,115.666664
abernethy,120.5
abernetty,106.0
abernuncio,110.75
aberration,95.96875
aberrations,115.0
aberrying,138.0
abertura,136.0
abest,134.5
abet,69.4
abets,68.0
abetted,98.625
abetting,106.25
abettor,97.0
abettors,66.333336
abeyance,86.5
abez,87.0
abfhlte,120.0
abfuhr,97.0
abfxustgrnogrkzu,112.0
abgab,90.0
abgegriffen,114.0
abgehen,135.0
abgeholt,96.0
abgeht,150.0
abgerackerte,247.0
abgerichtet,87.5
abgesehen,116.0
abgestochenes,105.0
abgewendetem,114.0
abgriff,85.0
abhira,87.0
abhominable,63.0
abhor,91.08572
abhorr,129.0
abhorrd,104.94444
abhorrdst,101.0
abhorre,85.5
abhorred,88.38461
abhorrence,89.75
abhorrent,95.875
abhorrentem,95.0
abhorrest,96.5
abhorreth,79.0
abhorring,100.0
abhorrst,116.0
abhors,89.07692
abhorson,115.7619
abi,86.5
abia,94.25
abiah,118.666664
abialbon,182.0
abiasaph,69.0
abiathar,98.617645
abiathars,93.0
abib,58.5
abida,58.0
abidah,59.0
abidan,98.2
abide,79.19925
abided,90.4
abides,88.0
abideth,80.11429
abiding,90.666664
abidingtemperd,123.0
abiel,88.0
abierta,87.583336
abiertas,95.0
abierto,103.84615
abiertos,126.36364
abiezer,106.85714
abiezrite,74.0
abiezrites,67.0
abigail,91.35
abigails,84.5
abihail,76.833336
abihu,96.0
abihud,81.0
abiit,62.0
abijah,109.7
abijam,101.8
abilene,82.0
abilin,54.0
abiling,111.0
abilities,103.8617
ability,98.44934
abilityes,102.0
abilitys,59.0
abimael,71.0
abimelech,88.89552
abimelechs,98.5
abin,78.0
abinadab,81.53846
abindarraez,88.5
abindarrez,97.0
abington,182.0
abinoam,68.25
abion,82.5
abiram,71.69231
abirding,113.0
abire,144.0
abirom,104.0
abis,153.0
abishag,91.2
abishai,89.2
abishalom,88.5
abishua,124.0
abishur,76.5
abismo,90.0
abismos,84.5
abit,93.0
abital,94.0
abitub,96.0
abiud,176.0
abject,104.6
abjectam,167.0
abjecti,104.0
abjection,70.0
abjectly,108.4
abjectness,94.833336
abjectnesses,120.0
abjects,115.666664
abjectus,74.0
abjectwhich,99.0
abjicit,163.0
abjurd,121.5
abjure,76.63636
abjured,124.333336
abjures,82.0
abladen,83.0
abland,94.0
ablandaba,77.0
ablandaban,96.0
ablandado,65.0
ablandan,83.0
ablandar,74.0
ablandara,58.0
ablandarme,97.0
ablandaron,103.0
ablandarte,96.0
ablande,110.0
ablandis,73.0
ablation,92.0
ablative,201.5
ablatum,94.0
ablaze,100.1579
ablazing,79.0
able,84.81678
ableand,118.0
ablebodied,105.5
ablebut,73.0
ablecken,127.0
ableeding,103.25
ablege,127.0
ablegte,127.0
ablehave,85.0
abler,90.25
ablerus,153.0
ableshe,62.0
ablest,107.92308
ableto,55.0
ableugnen,92.0
ablevoltaire,81.0
ablitionist,63.0
ablndate,165.0
abloom,81.0
ablossom,76.0
ablowin,99.0
ablowing,124.666664
ablsen,119.0
ablubbering,118.0
ablushing,46.0
abluted,173.0
ablution,108.75
ablutions,107.57895
ably,100.25
abnahm,121.5
abnegated,113.0
abnegation,115.07143
abner,89.86957
abners,99.0
abnormal,111.86957
abnormalities,110.0
abnormality,73.0
abnormally,118.625
aboad,87.0
aboard,95.21333
aboardclumb,46.0
abobado,138.0
abode,93.68898
aboded,96.0
abodements,81.0
abodes,108.40476
abodesin,106.0
abodest,81.0
abodethe,78.0
abodewhether,116.0
aboding,161.0
aboil,82.0
abolengo,72.0
abolish,85.48148
abolished,101.818184
abolishedexpression,81.0
abolishedthere,122.0
abolishes,134.25
abolishing,99.625
abolisht,154.0
abolition,104.32727
abolitionism,67.0
abolitionist,100.333336
abolitionists,86.28571
abolitionistsof,67.0
aboll,108.0
abollada,91.0
abollado,126.0
abominable,103.88387
abominably,114.75
abominado,137.0
abominate,106.6
abominated,91.8
abominates,79.0
abomination,81.02198
abominations,73.73494
abominationyou,122.0
abominbamos,87.0
abomino,140.0
abonasen,72.0
abono,94.5
abooming,85.5
aboon,93.333336
aboord,126.0
aboot,74.666664
aborde,150.0
aboriginal,87.85714
aboriginally,76.0
aboriginalness,103.0
aborigines,99.7
aboriri,225.0
aborrascadas,85.0
aborrec,153.0
aborreca,116.5
aborrece,82.0
aborrecen,176.0
aborreci,61.0
aborrecible,134.0
aborrecida,140.0
aborrecido,111.8
aborrecidos,114.0
aborrecimiento,118.333336
aborrezco,105.666664
abort,132.5
abortion,101.71429
abortions,125.666664
abortive,129.45
abortives,158.0
abothering,85.0
abougor,163.0
aboukir,70.0
abound,104.56923
aboundance,122.0
abounded,114.969696
aboundeth,83.0
aboundhere,82.0
abounding,113.066666
aboundingly,60.0
abounds,111.333336
aboundst,85.0
about,108.6556
aboutand,121.0
aboutas,121.0
aboutask,147.0
aboutenough,109.0
aboutfor,34.0
abouthow,106.0
abouthowever,102.0
abouti,102.4
aboutif,77.5
aboutis,78.0
aboutits,80.0
aboutnow,75.0
aboutrather,158.0
aboutrumours,136.0
aboutsetting,111.0
aboutshe,93.0
aboutso,138.0
aboutthat,129.0
aboutthem,125.0
aboutthick,218.0
aboutwhat,147.0
aboutwhenever,99.0
aboutyou,60.0
above,99.2805
aboveboard,137.8
abovedescribed,122.0
abovefor,90.0
aboveground,56.0
abovehe,118.0
abovementioned,102.71429
abovenamed,94.75
abovenothing,51.0
abovesaid,127.0
abovestill,66.0
abovethe,133.0
abr,96.545456
abra,109.625
abrac,153.0
abraded,108.0
abragging,82.0
abraham,89.81875
abrahams,99.13333
abram,87.84375
abramoff,105.0
abramovitz,162.0
abramovna,90.0
abrams,90.85714
abran,111.0
abranching,55.0
abras,131.2
abrasa,107.0
abrasada,71.0
abrasadas,131.0
abrasadores,122.0
abrasados,100.0
abrasan,47.0
abrasar,114.75
abrasarla,116.0
abrasarnos,75.0
abrasasen,100.0
abrasemos,76.0
abrasion,142.0
abraz,90.375
abrazaba,73.0
abrazada,117.0
abrazado,108.25
abrazamiento,92.0
abrazando,85.5
abrazar,95.69231
abrazara,60.5
abrazarle,120.0
abrazarme,144.0
abrazaron,86.0
abrazarse,134.0
abrazase,139.0
abrazla,149.0
abrazle,121.333336
abrazlos,138.0
abrazndole,128.2
abrazndonos,132.0
abrazndose,99.5
abrazo,84.5
abrazos,98.5
abrazronle,103.0
abrazronse,76.0
abrazrselos,105.0
abre,119.5
abreakfasting,95.0
abreakinga,90.0
abreast,99.62745
abreeding,112.0
abreiben,130.0
abrenuncio,123.0
abrevi,125.0
abrevian,72.0
abreviar,94.5
abrevies,128.0
abrewing,83.5
abrg,171.0
abri,104.03846
abrid,108.333336
abridgd,75.0
abridge,91.5
abridged,98.375
abridgement,122.333336
abridgementperhaps,76.0
abridgements,161.0
abridges,108.0
abridging,77.0
abridgment,104.47369
abridgments,87.0
abriendo,110.333336
abriera,95.0
abrieran,139.0
abrieron,117.0
abriese,102.75
abriesen,128.0
abrig,102.0
abrigo,105.0
abril,52.0
abrile,95.0
abrindola,70.0
abrindole,87.0
abrindolos,140.0
abrindose,146.0
abrines,59.0
abrir,92.3125
abrira,115.0
abriran,148.0
abrirla,101.0
abrirle,96.0
abrirse,112.5
abris,186.0
abrise,78.0
abriste,63.0
abrla,71.0
abro,162.0
abroach,111.25
abroad,100.62581
abroada,86.0
abroadaeneid,64.0
abroadanon,87.0
abroadhad,114.0
abroadhome,177.5
abroadi,148.0
abroadof,140.0
abroady,155.0
abroadyes,57.0
abrogate,109.0
abrogated,110.6
abrogating,78.5
abrogation,51.0
abrojos,90.0
abrook,150.0
abrs,115.0
abrupt,109.85567
abrupta,236.0
abrupted,70.0
abruption,131.0
abruptly,105.22066
abruptlya,137.0
abruptlynelly,168.0
abruptness,102.333336
abruptum,161.0
abruzzi,92.0
abruzzo,98.0
abs,135.0
absalom,90.71154
absaloms,94.8
absatz,104.0
absauste,99.0
abscess,104.0
abscheulich,79.0
abschied,112.0
abschleckt,94.0
abschnellen,97.0
abschnitt,143.0
abschnurren,108.0
abscindere,162.0
abscission,93.0
abscissum,121.0
abscond,96.0
absconded,89.8
absconding,135.0
abscondit,109.0
absence,98.04799
absencea,125.0
absencean,81.0
absenceand,114.5
absencearranged,214.0
absencei,57.0
absencelong,171.0
absencenothing,202.0
absenceoh,145.0
absences,128.0
absencesuetonius,58.0
absent,95.73684
absentbut,70.0
absented,98.5
absentee,112.75
absentees,114.0
absentem,190.0
absentes,108.0
absenting,108.28571
absently,117.703705
absentminded,115.702126
absentmindedly,116.69231
absentmindedness,105.833336
absents,71.0
absentshe,58.0
absentthat,62.0
absentthe,81.0
absey,120.0
absicht,95.0
absichten,68.0
absichtlich,74.0
absinthe,94.28571
absintheporter,92.0
absinthium,182.0
absit,150.25
absohitur,107.0
absolut,143.0
absoluta,80.0
absolutamente,142.0
absolute,106.616806
absolutely,102.955185
absolution,106.89474
absolutism,136.75
absolvd,96.166664
absolve,89.833336
absolved,102.88461
absolvedjuvenal,80.0
absolvent,72.0
absolves,69.666664
absolveth,80.0
absolvieren,90.0
absolviert,115.0
absolvierten,141.0
absolving,106.5
absona,166.0
absorb,91.83871
absorbd,59.666668
absorbed,99.33861
absorbedthat,97.0
absorbent,135.33333
absorbing,104.21277
absorbingly,105.0
absorbs,93.25
absorption,117.933334
absorptions,92.0
absortar,90.0
absorto,125.75
abstain,113.91525
abstaind,111.0
abstaine,93.5
abstained,119.411766
abstainer,80.0
abstainersthinblooded,160.0
abstaining,130.85715
abstains,105.666664
abstanden,74.0
abstemious,109.8
abstemiousness,54.0
abstengas,102.0
abstenindote,109.0
abstention,105.0
abstienstoi,86.0
abstinence,99.960785
abstinencebut,151.0
abstinences,109.0
abstinent,102.4
abstinet,127.0
abstract,101.89286
abstracted,97.3
abstractedly,113.42857
abstracting,75.5
abstraction,93.17461
abstractions,93.25
abstractionsof,94.0
abstractionsthe,164.0
abstractlet,84.0
abstractly,120.666664
abstractness,89.0
abstracts,104.5
abstreiten,122.0
abstruse,119.041664
abstruseness,62.0
abstrusest,129.0
abstrusiosities,117.0
absuelve,83.0
absurd,100.077126
absurdas,108.0
absurdbut,106.0
absurde,102.0
absurdest,86.0
absurdissimum,70.0
absurditie,128.0
absurdities,95.545456
absurditiesat,97.0
absurdits,74.0
absurdity,93.75
absurdityactually,75.0
absurdityas,61.0
absurdityof,107.0
absurditythe,157.0
absurdly,105.48387
absurdos,111.0
absurdthat,81.0
absurdthe,98.0
absurdum,123.333336
absuzeln,109.0
absyrtus,114.0
abtrocknen,91.0
abttscheln,51.0
abu,91.0
abulafia,93.0
abunda,100.0
abundaba,168.0
abundaban,190.0
abundan,87.0
abundance,91.99582
abundancia,102.52941
abundant,105.82353
abundante,107.8
abundantemente,163.0
abundantes,112.25
abundantly,106.958336
abundantlybut,77.0
abundantsima,64.0
abundantsimo,71.0
abundosa,122.5
abundoso,96.0
aburnin,58.0
abusd,100.870964
abuse,98.73778
abused,97.63265
abuser,84.0
abusers,104.0
abuses,106.20755
abusing,103.225
abusive,127.181816
abuso,144.5
abusos,166.0
abut,95.2
abutment,83.0
abuts,92.25
abutted,100.625
abutting,103.0
abuyin,76.0
abuzz,102.0
abwaschen,102.0
abwechselnd,131.2
abwehrte,90.0
abwischen,78.0
abwrts,89.5
aby,85.5
abydeans,137.0
abydos,111.75
abysm,97.0
abysmal,95.0
abysmic,132.0
abysms,101.0
abyss,88.32886
abyssdown,76.0
abysse,128.5
abysses,92.36364
abyssesthe,71.0
abyssinia,101.25
abyssinian,47.0
abyssinians,93.0
abysswe,111.0
abysswho,113.0
abzuben,61.0
abzugeben,133.0
abzuluchsen,120.0
abzumachen,138.0
abzustreifen,114.0
abzuttscheln,109.0
abzuwarten,58.0
abzuwehren,68.0
abzuwichsen,91.5
abzuwischen,90.0
ac,133.37662
acab,94.74138
acaba,114.63636
acababa,91.27273
acababan,110.0
acabable,113.0
acabad,71.0
acabada,97.882355
acabadas,109.0
acabadme,65.0
acabado,110.413795
acabados,108.0
acaballa,143.0
acaballe,70.0
acabamiento,94.333336
acabamos,128.5
acaban,89.333336
acabando,93.85714
acabar,99.0
acabara,117.333336
acabare,88.0
acabaremos,54.5
acabarla,141.0
acabarle,116.0
acabaron,125.416664
acabars,93.75
acabarse,102.0
acabas,139.0
acabase,106.0
acabasen,83.25
acabaste,108.0
acabbamos,96.0
acabe,103.47619
acaben,98.666664
acabis,158.0
acabndola,98.5
acabndolos,140.0
acabndonoslas,84.0
acabndose,86.0
acabo,101.333336
acabrsele,105.0
acabrseme,45.0
acabse,110.666664
acacia,101.333336
acacias,91.85714
acad,124.0
academe,110.0
academes,81.0
academia,212.0
academias,52.0
academic,116.53658
academical,119.0
academically,62.0
academician,124.0
academicians,100.0
academics,89.0
academie,104.0
academies,121.0
academiques,103.0
academus,96.5
academy,89.70115
acadian,147.5
acadmicien,102.0
acadmico,138.85715
acadmicos,74.0
acaece,124.0
acaecen,167.0
acaeci,125.5
acaecido,133.0
acaecimiento,81.0
acaecimientos,103.75
acallin,104.0
acalling,112.0
acamas,125.0
acamuzado,82.5
acanaladas,109.0
acanthus,107.666664
acanthusleaves,162.0
acanthuslike,193.0
acantsimply,109.0
acapring,88.0
acardenalado,59.0
acardenalarme,135.0
acardiac,91.0
acariciar,65.0
acariciase,88.0
acarrea,68.0
acarrean,76.0
acarryin,102.0
acarus,96.0
acaso,106.27778
acastus,111.0
acatalectic,70.0
acatamiento,109.666664
acause,106.5
acbar,99.0
acbese,44.0
accad,56.0
accademia,86.0
accaron,116.0
acccording,106.0
accd,80.0
accedas,223.0
accede,94.666664
acceded,108.583336
acceding,115.666664
accelerate,89.53846
accelerated,106.63636
accelerating,113.666664
acceleration,118.0
accendit,153.0
accent,102.347595
accentand,111.0
accented,106.1
accenthaving,150.0
accenting,116.5
accents,112.6747
accentsas,64.0
accentstay,67.0
accentuate,95.0
accentuated,102.809525
accentuates,115.666664
accentuating,104.28571
accentuation,97.0
accep,82.0
accepi,131.0
accepit,203.5
accept,88.5547
acceptable,91.72414
acceptableas,74.0
acceptably,122.0
acceptam,238.0
acceptance,96.67742
acceptancebut,76.0
acceptances,197.0
acceptancethe,98.0
acceptat,86.0
acceptation,98.5
acceptations,69.0
accepted,101.101944
acceptedis,133.0
acceptedmy,94.0
acceptest,105.0
accepteth,83.90909
accepting,131.43103
acception,180.5
acceptions,128.0
acceptons,67.0
accepts,107.560974
acceptshe,113.0
acceptum,183.0
accesible,114.0
access,127.79038
accessary,83.25
accessed,148.0
accesses,83.5
accessibility,101.0
accessible,113.655464
accession,91.85714
accessions,143.0
accessories,103.73333
accessorily,136.0
accessory,96.73684
accheta,61.0
accho,88.0
accidence,126.5
accidens,122.0
accident,97.51798
accidenta,84.0
accidental,107.85981
accidentall,83.0
accidentally,104.73395
accidentarily,91.0
accidentary,105.0
accidente,120.8
accidentes,122.75
accidenthe,103.0
accidenti,64.0
accidentin,110.0
accidently,99.888885
accidents,102.6579
accidentsand,82.0
accidentsay,48.0
accidentth,178.0
accidere,81.0
accidunt,100.0
accin,104.0
acciones,108.52631
accipimus,200.0
accite,69.0
accited,68.0
accites,122.0
acclaim,95.181816
acclaime,99.0
acclaimed,109.0
acclamation,110.4
acclamations,125.45
acclimatised,112.0
acclivities,137.0
acclivity,127.0
accolade,34.0
accommodata,145.0
accommodate,93.78205
accommodated,102.21154
accommodates,110.5
accommodating,100.47619
accommodatingly,83.0
accommodation,96.72131
accommodations,104.0
accommodationsall,113.0
accommodationshops,143.0
accommodationsyour,247.0
accommodationwhich,82.0
accommodatum,103.0
accommodo,86.0
accompagner,108.0
accompanable,116.0
accompanid,76.5
accompanied,107.49142
accompanies,117.411766
accompaniment,97.12195
accompaniments,99.35294
accompanist,85.0
accompany,90.090164
accompanyd,111.0
accompanying,104.74468
accompanyingmutiny,198.0
accompanyist,97.0
accompli,59.0
accomplice,90.02041
accomplices,92.51852
accomplicesone,86.0
accomplish,95.03472
accomplishd,92.90476
accomplished,99.64723
accomplishedbut,158.0
accomplishedor,90.0
accomplishedshe,77.0
accomplishedwere,99.0
accomplishes,94.57143
accomplishgayer,103.0
accomplishi,123.0
accomplishing,111.545456
accomplishment,96.01613
accomplishments,103.25
accomplisht,81.0
accompt,97.75
accomptbooks,200.0
accons,63.0
accord,82.945816
accordance,121.24847
accordant,76.333336
accordas,107.0
accorded,106.3125
accordeth,69.2
accordin,92.0
according,91.09916
accordingly,99.385605
accordinglymy,150.0
accordion,143.0
accords,92.2
accost,98.947365
accosted,108.8871
accostes,77.0
accosting,91.333336
accosts,90.0
accouche,140.0
accouchement,82.0
accouchements,86.0
accoucheur,102.75
accoucheuse,73.75
accouchez,91.0
accoules,144.0
account,92.04905
accountability,57.0
accountable,88.20588
accountant,107.0
accountants,126.25
accountbecause,70.0
accountbook,99.0
accountbooks,84.0
accountbut,81.0
accountconsisted,57.0
accountcurrent,76.0
accounted,96.78846
accountfor,59.0
accounti,124.5
accounting,98.1
accountit,115.0
accountno,48.0
accountnot,51.0
accountof,76.0
accounts,105.86147
accountsconcerning,159.0
accountshe,95.0
accountst,70.0
accountsuch,119.0
accountwas,87.0
accountwe,145.0
accountwhich,93.0
accouterments,110.0
accoutre,105.0
accoutred,123.5
accoutrement,100.0
accoutrements,108.07143
accredited,98.25
accretion,113.5
accretions,118.5
accrew,118.0
accreweth,65.0
accrue,99.4
accrued,83.8
accrues,104.0
accrueth,172.0
accruing,117.8
accumulate,96.25
accumulated,109.583336
accumulatelet,98.0
accumulates,116.0
accumulating,104.454544
accumulation,95.790695
accumulations,101.0
accumulative,107.666664
accumulators,144.0
accuracy,110.649124
accuracyi,153.0
accurat,224.0
accurate,108.942856
accurately,109.445656
accuratelyany,84.0
accuratelybut,88.0
accursd,108.26667
accursed,94.675674
accursedof,109.0
accurst,92.71429
accus,98.42857
accusat,139.0
accusation,100.25
accusationinglethorp,105.0
accusations,108.860466
accusationthe,122.0
accusative,127.0
accusativo,143.0
accusatory,69.0
accusd,98.04348
accuse,98.08247
accuseclean,86.0
accused,101.11682
accuser,84.52941
accusers,103.76
accuses,104.23529
accuseth,61.5
accusing,105.82758
accustom,90.24
accustomary,105.6
accustomd,74.55556
accustomed,87.883064
accustoming,86.6
accustoms,103.666664
ace,94.05556
aceas,126.0
acebo,78.0
aceda,55.0
aceite,87.2
aceitera,112.0
aceitunas,99.0
aceldama,92.0
acelerada,100.5
acelerado,114.0
acelerando,163.0
acendradsimo,173.0
acento,80.0
acentos,134.5
acept,96.0
aceptar,116.0
aceptlo,146.0
acepto,111.0
acer,152.0
acerada,111.0
acerado,46.0
acerb,112.0
acerbae,83.0
acerbities,103.0
acerbity,152.0
acerbum,160.0
acerc,50.0
acerca,109.51852
acercado,74.0
acercando,90.666664
acercse,82.0
acero,110.111115
aceros,70.0
acerrimam,166.0
acerrimus,163.0
acert,97.26667
acertaba,95.333336
acertaban,58.0
acertada,121.666664
acertadas,88.0
acertado,113.04348
acertados,158.0
acertadsimo,150.0
acertar,99.666664
acertara,116.4
acertare,74.8
acertares,122.0
acertaris,114.0
acertarle,119.0
acertaron,104.5
acertase,115.0
acertasen,77.0
acertastes,124.0
acertis,111.0
acertndole,131.0
acertramos,124.0
acervi,69.0
acervo,106.0
aces,110.0
acescit,198.0
acetaba,69.0
acetaban,133.0
acetacin,139.0
acetar,122.0
acetarlos,98.0
acetaron,127.0
acetaros,92.0
acete,96.0
acetic,59.0
aceto,145.0
acetones,63.0
acetous,144.0
aceyte,100.0
ach,125.93023
achaean,90.35294
achaeans,94.87805
achaemenes,217.0
achaeus,94.0
achaffin,103.0
achaia,91.53333
achaian,94.15385
achaians,108.75
achaicus,92.0
achan,80.125
achanging,80.0
achanthis,137.0
achaque,103.22222
achar,93.0
acharging,79.0
acharne,143.0
acharyas,85.0
achates,89.0
achawed,63.0
achaz,184.0
achbor,63.0
ache,93.25
ached,80.34091
acheit,102.0
achelous,97.0
acheron,101.75
acheronta,181.0
acherontia,113.0
acherontis,261.0
aches,93.37143
achestnutting,50.0
achievd,92.933334
achieve,87.34375
achieved,104.93976
achievedmadame,79.0
achievement,97.83784
achievements,111.523254
achiever,110.0
achieves,89.333336
achieving,103.7
achille,180.0
achillean,170.0
achilleid,64.0
achilleis,79.0
achilleisgrote,104.0
achilles,102.3483
achilleses,67.0
achillesi,132.0
achilless,136.0
achim,120.5
aching,95.32895
achingin,68.0
achings,127.0
achipping,114.0
achish,85.61905
achitophel,137.0
achmet,92.71429
achmetha,74.0
achor,90.333336
achreoin,134.0
achsa,70.0
achsah,100.5
achsel,128.0
achseln,99.0
achselspange,61.0
achshaph,95.0
acht,152.6
achten,103.0
achtete,93.0
achtmal,90.5
achtunddreiig,137.0
achtung,114.0
achtzehn,106.0
achtzugeben,62.0
achzib,73.75
aciago,105.333336
aciagos,109.5
acicalada,107.0
acid,105.63333
acidente,121.0
acides,78.5
acidly,104.5
acids,114.8
acidstained,107.0
acidulated,211.0
acidulous,96.0
acidumque,109.0
acie,170.0
acierta,74.333336
aciertan,95.5
acierte,131.0
aciertes,114.0
acierto,96.0
acies,110.0
aciones,110.0
acite,112.0
acknowledgd,96.0
acknowledge,89.48693
acknowledged,99.78281
acknowledgeddid,66.0
acknowledgedthat,89.0
acknowledgedwhat,106.0
acknowledgei,140.0
acknowledgement,104.8
acknowledgements,113.75
acknowledges,96.40909
acknowledgeth,103.8
acknowledging,109.881355
acknowledgment,99.666664
acknowledgmentfor,117.0
acknowledgments,109.5625
acknown,68.0
acksually,93.0
acky,153.0
aclamaban,136.0
aclamaron,138.0
aclara,83.0
aclaraba,59.0
aclarase,157.0
aclare,92.0
aclitos,94.0
aclrate,122.0
acluttering,145.0
acme,91.083336
acmila,134.0
acobardaban,129.0
acobardado,78.0
acobardan,115.0
acobarde,67.0
acobardse,108.0
acoceado,82.0
acocear,145.0
acockbill,154.0
acoga,158.0
acogen,150.0
acoger,100.5
acogerse,74.0
acogi,102.333336
acogida,106.0
acogido,53.0
acogidos,146.0
acogiese,104.0
acogiesen,215.0
acogimiento,119.72727
acogimientos,82.0
acogistes,106.0
acoja,160.0
acold,87.71429
acolyte,71.0
acolytes,155.5
acomdale,127.0
acomdate,172.0
acomet,127.0
acometa,133.16667
acometan,85.0
acomete,98.4
acometedor,140.0
acometedores,100.0
acometella,94.0
acometellas,81.0
acometemos,60.0
acometen,110.333336
acometer,107.1
acometera,134.0
acometerla,111.0
acometerlas,180.0
acometi,94.0
acometida,132.0
acometido,108.333336
acometidos,109.0
acometiendo,89.0
acometiera,175.0
acometieran,86.0
acometieron,87.5
acometiese,150.0
acometimientos,91.333336
acometindoos,114.0
acometironnos,144.0
acomin,86.75
acoming,94.42857
acomod,100.2
acomodaba,109.333336
acomodada,126.5
acomodado,112.23077
acomodados,126.71429
acomodan,80.0
acomodando,130.0
acomodar,104.166664
acomodara,96.0
acomodarle,105.0
acomodarme,85.0
acomodarn,99.0
acomodaron,99.6
acomodarse,108.14286
acomodase,96.0
acomodasen,114.0
acomoddolas,92.0
acomoddose,77.0
acomode,74.0
acomodle,111.0
acomodndole,109.0
acomodndome,107.0
acomodndoos,96.0
acomodndose,132.66667
acomodremos,69.0
acomodronme,116.0
acomodrsele,133.0
acomodse,112.5
acompaa,163.0
acompaaba,120.666664
acompaaban,112.0
acompaada,95.4
acompaadas,125.5
acompaado,104.333336
acompaador,108.0
acompaados,107.833336
acompaamiento,106.125
acompaamos,115.666664
acompaan,118.666664
acompaando,134.66667
acompaar,78.0
acompaaremos,49.0
acompaarla,137.5
acompaarle,115.0
acompaarles,179.0
acompaarme,192.0
acompaaron,104.0
acompaaros,161.0
acompaarse,192.0
acompaase,93.5
acompaasen,115.0
acompae,100.7
acompaen,118.0
acompamosla,63.0
acomparamos,70.0
acondicionado,96.5
aconite,124.666664
aconitum,108.0
aconsej,144.0
aconseja,93.0
aconsejaba,124.6
aconsejada,125.0
aconsejado,88.25
aconsejando,133.0
aconsejar,116.0
aconsejara,98.0
aconsejarale,97.0
aconsejaremos,37.0
aconsejarla,111.0
aconsejarle,75.0
aconsejarme,119.5
